Employee_ID,Department,Job_Title,"Years of Experience",Education_Level,Performance_Score,Projects_Handled,Employee_Satisfaction_Score,Certifications,Skills,Hire_Date
11,"Customer Support",Engineer,4,Bachelor,3,1,2.34,"Certified Jenkins Engineer, AWS Certified DevOps Engineer ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Professional","Bash/Shell;Go;Java;Node.js;Python;Scala;SQL;Docker;Git;Kubernetes;Terraform;AWS;Google Cloud Platform;Microsoft Azure;DynamoDB;MongoDB;MySQL;PostgreSQL",26-11-2019
12,"Customer Support",Technician,9,Bachelor,5,13,1.96,"AWS Certified Developer ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Associate, Jenkins Certification","Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;SQL;Git;Unity 3D;jQuery",19-02-2015
13,HR,Technician,5,Bachelor,4,11,2.13,"Chef Certification, AWS Certified DevOps Engineer ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Professional",C;C++;Java;Python;Git,04-07-2019
14,Engineering,Analyst,9,Bachelor,4,30,1.46,"Microsoft Certified: Data Analyst Associate, Tableau Desktop Specialist",Assembly;C;Java;Kotlin;Rust;Docker;Git,14-10-2014
15,Finance,Analyst,1,Master,1,49,2.22,"IBM Certified Data Architect - Big Data, Google Cloud Professional Data Architect",Bash/Shell;C#;C++;Python;Git,11-03-2023
16,"Customer Support",Developer,1,Bachelor,2,41,2.42,"AWS Certified Solutions Architect ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Professional, Google Cloud Professional DevOps Engineer","C#;C++;JavaScript;PowerShell;SQL;TypeScript;Docker;Git;Kubernetes;ASP.NET Core ;React.js;Heroku;Microsoft Azure;Microsoft SQL Server;PostgreSQL;Redis",19-04-2023
17,Operations,Engineer,4,Bachelor,2,26,3.15,"AWS Certified DevOps Engineer ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Professional, Docker Certified Associate",C++;SQL;Git;MongoDB;MySQL,21-09-2019
18,Sales,Developer,1,Bachelor,3,36,1.19,"Elastic Certified Engineer, Elastic Stack Certification","C#;HTML/CSS;JavaScript;Node.js;PowerShell;TypeScript;VBA;Docker;Kubernetes;Angular;ASP.NET;ASP.NET Core ;Express;Svelte;AWS;DigitalOcean;Microsoft Azure;Couchbase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite",08-11-2022
19,"Customer Support",Developer,8,Bachelor,1,9,1.12,"Gerrit Code Review Certification (if available)",Bash/Shell;HTML/CSS;Java;Python;SQL;TypeScript;Ansible;Git;Terraform;Yarn;React.js;Spring;MySQL;SQLite,01-10-2015
20,Finance,Technician,9,Bachelor,2,0,3.91,"Certified Jenkins Engineer, AWS Certified DevOps Engineer ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Professional","C;C#;HTML/CSS;Java;JavaScript;PHP;SQL;Docker;Git;Angular;ASP.NET Core ;jQuery;Spring;Microsoft SQL Server;MySQL;Oracle;SQLite",08-05-2015
21,Operations,Manager,1,Bachelor,1,28,3.7,"Atlassian Jira Administration Certification, AgilePM Certification",Bash/Shell;HTML/CSS;JavaScript;Python;SQL;Docker;Git;Django;FastAPI;Vue.js;Heroku;Oracle,19-12-2022
22,Sales,Manager,7,Master,5,22,4.66,"Certified Kubernetes Administrator (CKA), CNCF Kubernetes Security Specialist (CKS)","C#;VBA;Git;ASP.NET;Microsoft SQL Server;MySQL",25-05-2017
23,Finance,Specialist,8,Bachelor,4,40,3.68,"Google Cloud Professional Machine Learning Engineer, AWS Certified Machine Learning ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Specialty",Bash/Shell;JavaScript;Node.js;TypeScript;Terraform;AWS;DynamoDB,23-07-2016
24,Sales,Consultant,6,Master,2,2,4.26,"Microsoft Certified: Azure Data Scientist Associate, TensorFlow Developer Certificate",HTML/CSS;JavaScript;SQL;TypeScript;Git;Express;Gatsby;React.js;AWS;Heroku;PostgreSQL;SQLite,21-01-2018
25,HR,Analyst,6,Bachelor,2,21,4.43,"ITIL Foundation Certification, CompTIA IT Fundamentals+",Bash/Shell;C;C++;Matlab;PowerShell;Python;Git,23-06-2018
26,"Customer Support",Specialist,2,Bachelor,5,24,2.12,"AI-900: Microsoft Azure AI Fundamentals, Certified Artificial Intelligence Practitioner (CAIP)",HTML/CSS;JavaScript;PHP;Git;jQuery;React.js,03-05-2022
27,Finance,Engineer,3,Bachelor,2,24,3.16,"Cloudera Certified Professional (CCP), Google Cloud Professional Data Engineer","Bash/Shell;C#; Core ;Django;Express;Flask;jQuery;Laravel;React.js;Spring;Vue.js;Google Cloud Platform;Microsoft Azure;Firebase;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL",12-07-2021
28,Legal,Manager,9,Master,3,42,1.35,"Certified Analytics Professional (CAP), Microsoft Certified: Data Analyst Associate",HTML/CSS;Python;R;Docker;Git;Flask;AWS;DynamoDB,22-11-2014
29,Engineering,Specialist,2,Bachelor,2,34,4.52,"Google Cloud Professional Machine Learning Engineer, AWS Certified Machine Learning ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Specialty",Bash/Shell;Java;JavaScript;PHP;Python;Ansible;Git;PostgreSQL,17-04-2022
30,Finance,Analyst,1,Bachelor,3,25,4.95,"ITIL Foundation Certification, CompTIA A+","Assembly;C;C#;Go;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript;Docker;Git;Yarn;ASP.NET;ASP.NET Core ;jQuery;React.js;Microsoft Azure;MariaDB;Microsoft SQL Server;MySQL;SQLite",21-06-2023
31,"Customer Support",Consultant,6,Bachelor,1,15,4.65,"Puppet Certification, AWS Certified DevOps Engineer ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Professional","Dart;HTML/CSS;Java;JavaScript;Node.js;PowerShell;TypeScript;Docker;Git;Angular;Django;Express;jQuery;React.js;Vue.js;Google Cloud Platform;Firebase;MariaDB;MongoDB;MySQL;Oracle",14-05-2018
32,Legal,Manager,1,Bachelor,4,25,1.95,"Certified Jenkins Engineer, AWS Certified DevOps Engineer ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Professional","C#;SQL;TypeScript;Docker;Kubernetes;ASP.NET Core ;AWS;Microsoft Azure;Elasticsearch;Microsoft SQL Server",12-06-2023
33,"Customer Support",Analyst,0,Bachelor,2,49,4.43,"Jenkins Certification, AWS Certified Developer ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Associate","Bash/Shell;C#;HTML/CSS;Julia;Matlab;Python;Git;Google Cloud Platform",13-06-2024
34,Sales,Engineer,2,PhD,4,26,2.1,"AWS Certified DevOps Engineer ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Professional, Docker Certified Associate","C#;Clojure;Go;JavaScript;Python;SQL;Git;jQuery;Microsoft Azure;Microsoft SQL Server",11-09-2021
35,Marketing,Analyst,5,Master,4,13,1.94,"Certified Kubernetes Administrator (CKA), Docker Certified Associate","Bash/Shell;C#;JavaScript;Node.js;PowerShell;Python;TypeScript;Docker;Git;Kubernetes;Puppet;Terraform;Unity 3D;ASP.NET;ASP.NET Core ;jQuery;React.js",23-05-2019
36,HR,Engineer,4,Master,5,9,4.21,"Splunk Core Certified Power User, Splunk Enterprise Security Admin","HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript;Docker;Git;Terraform;Yarn;Laravel;React.js;AWS;DigitalOcean;Google Cloud Platform;Heroku;Firebase;MongoDB;MySQL;PostgreSQL;SQLite",12-10-2019
37,Sales,Consultant,0,Bachelor,2,42,4.97,"Microsoft Certified: .NET Developer, MCP: Programming in C#","Scala;Git;Google Cloud Platform;MongoDB",04-04-2024
38,Sales,Consultant,9,Master,2,6,2.47,"IAAP CPACC, W3C Web Accessibility Specialist","Dart;JavaScript;Node.js;Docker;Git;Django;Vue.js;Google Cloud Platform;Firebase;PostgreSQL;SQLite",13-01-2015
39,IT,Specialist,2,Bachelor,1,7,2.66,"Project Management Professional (PMP), Certified ScrumMaster (CSM)","C#;HTML/CSS;JavaScript;PHP;Docker;Git;Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;AWS;Microsoft Azure;MariaDB;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite",03-02-2022
40,HR,Engineer,1,Bachelor,5,2,4.22,"Associate Android Developer, Google Play Store Certification",Python;Docker;Git;Django;AWS,11-04-2023
41,HR,Analyst,3,Bachelor,2,45,2.9,"Red Hat Ansible Automation Certification, AWS Certified DevOps Engineer - Professional","Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Git;Angular;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;Microsoft SQL Server",25-12-2020
42,Marketing,Specialist,2,Bachelor,4,10,4.84,"AppDynamics Certification, Cisco Application Centric Infrastructure (ACI)","Go;JavaScript;Node.js;PHP;TypeScript;Git;React.js;Microsoft SQL Server",31-10-2021
43,"Customer Support",Engineer,8,Bachelor,3,48,3.59,"Certified Information Systems Security Professional (CISSP), Certified Ethical Hacker (CEH)","HTML/CSS;Java;JavaScript;Node.js;Python;SQL;Docker;Git;jQuery;Spring;Microsoft SQL Server;MongoDB;PostgreSQL",11-08-2016
44,Marketing,Manager,3,Bachelor,3,25,3.32,"JFrog Artifactory Certification, DevOps Institute Certifications",HTML/CSS;JavaScript;Python;Docker;Angular.js;Django;React.js;DigitalOcean;MySQL;PostgreSQL;Redis,21-05-2021
45,"Customer Support",Developer,3,Master,2,7,2.53,"AWS Certified DevOps Engineer - Professional, Docker Certified Associate","Bash/Shell;C#;Dart;Go;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript;Ansible;Docker;Git;Kubernetes;Terraform;Xamarin;ASP.NET;ASP.NET Core ;Express;Flask;React.js;AWS;Microsoft Azure;Couchbase;DynamoDB;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite",03-03-2021
46,HR,Specialist,8,Bachelor,2,19,1.59,"AWS Certified Solutions Architect - Associate, AWS Certified Solutions Architect - Professional",Bash/Shell;HTML/CSS;Java;JavaScript;PHP;Python;Scala;SQL;VBA;Git;jQuery;React.js;Vue.js;AWS;MySQL;Oracle;PostgreSQL,12-06-2016
47,HR,Technician,3,Bachelor,4,19,1.27,"Microsoft Certified: Azure DevOps Solutions Expert, Azure Fundamentals",Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;SQL;TypeScript;Docker;Git;Angular;React.js;Spring;MariaDB;MySQL;PostgreSQL,03-04-2021
48,Operations,Specialist,0,Bachelor,1,31,4.84,"Atlassian Bamboo Certification, CI/CD Certifications",HTML/CSS;JavaScript;Node.js;Git;Express;React.js;Heroku;MongoDB,23-11-2023
49,Legal,Specialist,8,Bachelor,5,49,2.9,"Atlassian Bitbucket Certification, GitHub Proficiency Certifications","C#;HTML/CSS;JavaScript;SQL;VBA;Angular.js;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;DynamoDB;Elasticsearch;Microsoft SQL Server;SQLite",02-06-2016
50,Operations,Developer,4,Bachelor,2,10,1.47,"Certified Blockchain Developer, Ethereum Developer Certification",C;C#;C++;Dart;HTML/CSS;Java;JavaScript;PHP;Python;Git;Kubernetes;Xamarin;Yarn;jQuery;Laravel;React.js;Symfony;Vue.js;AWS;DigitalOcean;Heroku;Firebase;MongoDB;MySQL;Redis;SQLite,24-01-2020
51,Legal,Consultant,4,Bachelor,1,26,3.02,"CBAP - Certified Business Analysis Professional, PMI-PBA - PMI Professional in Business Analysis",Bash/Shell;Python;Docker;Git;Puppet;AWS;MySQL,13-09-2019
52,HR,Developer,7,Bachelor,2,9,1.43,"Microsoft Certified: C# Programmer, .NET Framework Certification","Kotlin;Objective-C;SQL;Swift;Git;AWS;Google Cloud Platform",21-03-2017
53,Engineering,Consultant,9,Bachelor,3,34,2.56,"Chef InSpec Certification, HashiCorp Terraform Associate","Bash/Shell;C#;HTML/CSS;JavaScript;TypeScript;Git;ASP.NET;Vue.js;AWS;Microsoft SQL Server",03-06-2015
54,Engineering,Technician,8,Bachelor,2,22,1.1,"CompTIA Cloud+, Cloud Security Alliance CCSK","C#;HTML/CSS;JavaScript;Node.js;PHP;PowerShell;SQL;Git;Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;Vue.js;Microsoft Azure;Elasticsearch;Microsoft SQL Server;MySQL;SQLite",24-10-2015
55,Operations,Technician,9,Bachelor,5,26,1.87,"Google Cloud Professional Cloud Architect, AWS Certified Solutions Architect","Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;Docker;Git;Kubernetes;Puppet;Unity 3D;Angular;jQuery;Laravel;React.js;Symfony;AWS;DigitalOcean;Elasticsearch;MySQL;SQLite",15-08-2015
56,Marketing,Developer,2,Bachelor,3,18,1.7,"HashiCorp Terraform Associate, Azure Automation Certifications","C#;Java;JavaScript;Python;SQL;Ansible;Chef;Docker;Terraform;Unity 3D;ASP.NET;ASP.NET Core ;Django;AWS;Microsoft Azure;Elasticsearch;MongoDB;MySQL;PostgreSQL;SQLite",25-11-2021
57,"Customer Support",Specialist,8,PhD,1,46,2.64,"Google Cloud Associate Cloud Engineering, CompTIA Cloud+","Go;JavaScript;Python;SQL;TypeScript;VBA;Ansible;Docker;Git;Yarn;Django;FastAPI;Flask;Gatsby;jQuery;React.js;AWS;Google Cloud Platform;Microsoft Azure;Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite",17-04-2016
58,Finance,Developer,5,Bachelor,4,42,3.97,"Cisco CCNA Cloud, Cisco CCNP Cloud","C#;Delphi;JavaScript;Node.js;TypeScript;Git;Angular;ASP.NET Core ;Microsoft Azure;Microsoft SQL Server",21-07-2019
59,IT,Technician,0,Bachelor,3,7,4.23,"Certified Cloud Security Professional (CCSP), CompTIA Security+","JavaScript;Swift;TypeScript;Git;React.js;Google Cloud Platform;Firebase;PostgreSQL",03-07-2024
60,"Customer Support",Manager,5,Bachelor,1,17,3.02,"CNC Programming Certificate, Mastercam Certification","C#;F#;SQL;Git;Microsoft SQL Server",05-09-2019
61,Operations,Consultant,3,Bachelor,2,17,2.32,"CompTIA IT Fundamentals+, Coding Bootcamp Certificates",Bash/Shell;C;Dart;Go;HTML/CSS;JavaScript;Node.js;PHP;Python;TypeScript;Docker;Git;Kubernetes;Yarn;React.js;AWS;DynamoDB;Elasticsearch;MongoDB;MySQL;Redis;SQLite,21-05-2021
62,Engineering,Specialist,7,Bachelor,5,44,2.15,"Adobe Creative Suite Certifications, Maya Certifications",C++;Java;Kotlin;Objective-C;Swift;SQLite,11-07-2017
63,Sales,Manager,6,Bachelor,3,29,2.26,"CompTIA A+, Cisco CCNA","SQL;Git;jQuery;Google Cloud Platform;SQLite",23-05-2018
64,Finance,Manager,6,Bachelor,4,10,1.68,"Cisco CCNP Network Design, Cisco CCIE Routing and Switching",JavaScript;Node.js;PHP;TypeScript;Docker;Git;Angular;Express;Laravel;MariaDB;MongoDB;MySQL,23-01-2018
65,Sales,Specialist,5,Bachelor,1,37,4.33,"Oracle Java Programmer Certification, Microsoft Technology Associate (MTA)","C#;HTML/CSS;PowerShell;SQL;Git;Xamarin;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;Microsoft SQL Server",19-11-2018
66,Legal,Technician,0,Bachelor,4,32,2.13,"Certified Data Scientist (CDS), IEEE Certified Artificial Intelligence Engineer","Bash/Shell;C;C++;Go;HTML/CSS;Java;JavaScript;Matlab;Node.js;Python;Scala;SQL;TypeScript;Unity 3D;Unreal Engine;Django;FastAPI;Flask;jQuery;React.js;MongoDB;MySQL;SQLite",16-07-2024
67,Sales,Manager,7,Master,2,30,4.26,"Certified Business Analysis Professional (CBAP), ITIL Foundation Certification",HTML/CSS;JavaScript;Node.js;PHP;PowerShell;Python;SQL;Git;Angular;Express;Gatsby;jQuery;React.js;Heroku;Firebase;MariaDB;MongoDB;MySQL;Redis,03-01-2017
68,HR,Consultant,0,Bachelor,2,10,2.45,"Atlassian Confluence Certification, AgilePM Certification","C++;HTML/CSS;JavaScript;Node.js;Perl;PHP;SQL;Git;ASP.NET;Microsoft Azure;SQLite",14-08-2024
69,Operations,Specialist,8,Bachelor,4,6,2.42,"HashiCorp Certified: Consul Associate, Cloud Security Alliance CCSK","JavaScript;Python;SQL;Docker;Git;Django;jQuery;Google Cloud Platform;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite",21-07-2016
70,Sales,Manager,8,Master,1,2,4.45,"Python Institute Certifications, Certified Software Development Professional (CSDP)",C++;Go;JavaScript;Node.js;Python;TypeScript;Docker;Git;Kubernetes;React.js;AWS;DynamoDB;Elasticsearch;MongoDB;Redis,26-11-2015
71,IT,Developer,1,Bachelor,1,20,4.49,"Microsoft Certified: Data Analyst Associate, Google Data Analytics Professional Certificate","C#;HTML/CSS;JavaScript;PowerShell;TypeScript;Git;Yarn;Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;AWS;Google Cloud Platform;Microsoft Azure;Microsoft SQL Server;MongoDB;Redis",13-01-2023
72,Engineering,Analyst,1,Master,4,1,3.55,"Google Cloud Professional Data Engineer, AWS Certified Big Data ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Specialty",Assembly;Python,17-07-2023
73,Sales,Developer,1,Bachelor,2,42,1.31,"IBM Certified Data Modeler, Data Management Association (DAMA) CDMP",Matlab,08-01-2023
74,Legal,Developer,4,Bachelor,2,6,4.98,"Certified Analytics Professional (CAP), Microsoft Certified: Azure Data Scientist Associate",JavaScript;PHP;SQL;React.js;Symfony;MySQL,18-01-2020
75,HR,Consultant,0,Bachelor,2,6,1.39,"Oracle Database SQL Certified Associate, Microsoft Certified: Azure Database Administrator Associate",HTML/CSS;JavaScript;Python;SQL;Git;Flask;DigitalOcean;Heroku;SQLite,29-04-2024
76,Engineering,Consultant,6,Bachelor,4,36,1.75,"Datadog Monitoring Certification, AWS Certified DevOps Engineer ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Professional","Python;R;Git;AWS;Microsoft SQL Server",11-04-2018
77,"Customer Support",Technician,7,PhD,3,46,3.2,"CompTIA IT Fundamentals+, .NET Developer Certification","C;C#;C++;Java;Kotlin;PHP;SQL;Docker;Git;Kubernetes;Spring;Microsoft Azure;IBM DB2;Microsoft SQL Server;MySQL;Oracle;PostgreSQL",24-05-2017
78,Sales,Developer,3,Master,5,28,3.55,"AWS Certified Solutions Architect ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Professional, Google Cloud Professional DevOps Engineer","Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript;Docker;Git;Angular;Spring;Google Cloud Platform;Oracle;PostgreSQL",17-10-2020
79,Legal,Consultant,8,Bachelor,3,36,3.5,"AWS Certified DevOps Engineer ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Professional, Docker Certified Associate",Go;JavaScript;Python;SQL;Docker;Git;DigitalOcean;Cassandra;Elasticsearch;PostgreSQL;Redis,05-02-2016
80,"Customer Support",Specialist,5,Bachelor,1,27,2.09,"Project Management Professional (PMP), Certified ScrumMaster (CSM)","Groovy;Java;Kotlin;Git;AWS;Google Cloud Platform;SQLite",20-02-2019
81,Legal,Developer,0,Master,3,12,3.75,"Certified Information Systems Security Professional (CISSP), DevSecOps Foundation Certification","Java;JavaScript;SQL;Git;jQuery;Spring;IBM Cloud or Watson;Microsoft Azure;IBM DB2;MariaDB;Microsoft SQL Server;MySQL",07-05-2024
82,"Customer Support",Specialist,7,Bachelor,3,19,3.4,"Certified DevSecOps Practitioner, AWS Certified Security ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Specialty",C;C++;HTML/CSS;JavaScript,14-12-2016
83,Engineering,Analyst,3,Bachelor,2,24,1.33,"Project Management Professional (PMP), Executive Leadership Programs",C;C++;Delphi;Go;HTML/CSS;Perl;Python;R;Ruby;Rust;Docker;Git;Terraform;Django;Flask;AWS;DynamoDB;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,23-06-2021
84,HR,Analyst,8,Master,1,38,2.17,"Docker Certified Associate, AWS Certified Solutions Architect",C#;HTML/CSS;JavaScript;PHP;SQL;Docker;Git;Yarn;jQuery;React.js;Symfony;Vue.js;AWS;Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis,23-03-2016
85,Marketing,Specialist,8,Bachelor,2,16,4.27,"Elastic Certified Engineer, Elastic Stack Certification",Java;TypeScript;Git;Angular;Spring,16-09-2015
86,Legal,Engineer,9,Bachelor,4,11,2.37,"Certified Embedded Systems Engineer (CESE), Embedded C Programming Certification",HTML/CSS;Java;JavaScript;Node.js;TypeScript;Yarn;Angular;Express;React.js;Vue.js;AWS;DigitalOcean;MongoDB;MySQL;PostgreSQL,11-02-2015
87,Marketing,Technician,4,PhD,3,1,1.77,"CompTIA IT Fundamentals+, Coding Bootcamp Certificates","C;C#;C++;HTML/CSS;JavaScript;SQL;TypeScript;Docker;Git;ASP.NET;ASP.NET Core ;jQuery;Vue.js;IBM DB2;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;SQLite",14-11-2019
88,Marketing,Technician,5,Bachelor,2,45,1.11,"Cisco CCNA Routing and Switching, CompTIA Network+","Assembly;C#;C++;HTML/CSS;JavaScript;Python;R;TypeScript;Git;Angular;Angular.js;jQuery;React.js;DigitalOcean;Microsoft SQL Server;PostgreSQL;SQLite",05-07-2019
89,Finance,Engineer,0,Master,2,1,2.08,"CompTIA IT Fundamentals+, Coding Bootcamp Certificates",C;C++;JavaScript;Objective-C;Python;Swift;TypeScript;Docker;Git;Flask;React.js;AWS;DynamoDB;PostgreSQL;Redis,06-11-2023
90,"Customer Support",Manager,6,Bachelor,4,11,3.22,"CompTIA IT Fundamentals+, Coding Bootcamp Certificates","Bash/Shell;Go;HTML/CSS;JavaScript;Ruby;SQL;TypeScript;Chef;Docker;Git;Terraform;Angular;React.js;Ruby on Rails;AWS;DigitalOcean;Google Cloud Platform;MySQL;PostgreSQL;Redis",19-01-2018
91,"Customer Support",Consultant,0,Bachelor,2,42,3.23,"CompTIA IT Fundamentals+, Coding Bootcamp Certificates",JavaScript;Python;Docker;Git;Flask;MariaDB;PostgreSQL,15-03-2024
92,Legal,Developer,5,Bachelor,1,11,3.69,"HTML/CSS/JavaScript Certifications, Coding Bootcamp Certificates","C#;HTML/CSS;SQL;TypeScript;Git;Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;MySQL",13-07-2019
93,Finance,Manager,0,Bachelor,4,9,3.66,"Service Mesh Certifications, Cloud Native Computing Foundation Certifications","C#;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;TypeScript;VBA;Docker;Git;Angular;ASP.NET;ASP.NET Core ;jQuery;React.js;Microsoft Azure;MariaDB;Microsoft SQL Server;MySQL",09-11-2023
94,Engineering,Specialist,3,Bachelor,4,19,4.1,"Cloud Native Security Certifications, Kubernetes Security Specialist Certification","C#;Docker;Unity 3D;Xamarin;ASP.NET;ASP.NET Core ;Microsoft Azure;Microsoft SQL Server;SQLite",23-04-2021
95,Operations,Developer,9,Bachelor,1,4,4.36,"FluentD Certification (if available), Cloud Native Computing Foundation Certifications","C;C#;C++;HTML/CSS;JavaScript;Node.js;PHP;Python;R;SQL;TypeScript;Docker;Git;Yarn;Angular;Angular.js;Django;jQuery;Laravel;React.js;Symfony;AWS;DigitalOcean;Google Cloud Platform;Heroku;IBM Cloud or Watson;Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite",06-07-2015
96,Marketing,Manager,5,Bachelor,3,24,1.03,"Fortify Software Security Center Certification, Certified Ethical Hacker (CEH)","Ansible;Docker;Git;AWS;Microsoft SQL Server",11-04-2019
97,Engineering,Specialist,9,PhD,3,24,2.34,"Framework-Specific Certifications (e.g., React, Angular), Agile Methodologies Certifications",Bash/Shell;HTML/CSS;JavaScript;Node.js;SQL;Docker;Git;Kubernetes;Yarn;Express;React.js;Couchbase;Elasticsearch;MariaDB,14-04-2015
98,Finance,Manager,8,Bachelor,3,31,4.2,"JavaScript Developer Certificate, Front-End Web Developer Nanodegree","C#;HTML/CSS;Matlab;Python;R;SQL;Git;Django;Flask;AWS;Microsoft Azure;MySQL;PostgreSQL;SQLite",31-12-2015
99,Sales,Developer,4,Bachelor,2,33,4.39,"JavaScript Developer Certificate, Front-End Web Developer Nanodegree",Bash/Shell;Java;JavaScript;Node.js;Python;TypeScript;Docker;Git;Kubernetes;Terraform;AWS;DynamoDB;MySQL;PostgreSQL;Redis,15-11-2019
